program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
bachelor's (cs),False,1-2 years,1,macos,True,"english, portuguese","europe, north america",1999-04-18,1900-01-01 10:00:00,1900-01-01 00:15:00,winter,tea,fish,,sci-fi,"music, running",
phd,True,4+ years,4,linux,True,"english, spanish, korean, japanese","africa, asia, europe",2001-12-17,1900-01-01 07:30:00,1900-01-01 23:30:00,summer,tea,dog,Parasite,"comedy, drama",climbing,
bachelor's (cs),False,less than 1 year,4,windows,True,"english, cantonese, japanese, spanish","africa, asia, europe",1998-09-04,1900-01-01 11:15:00,1900-01-01 23:15:00,summer,tea,cat,Oppenheimer,"comedy, drama",gaming,😀
bachelor's (cs),True,less than 1 year,3,macos,False,"english, japanese","asia, north america",1999-10-14,1900-01-01 08:15:00,1900-01-01 22:15:00,fall,coffee,none,,horror,"cooking, movies",😀
bachelor's (cs),False,1-2 years,3,macos,False,"english, korean, spanish",north america,2006-08-08,1900-01-01 08:00:00,1900-01-01 00:30:00,spring,tea,cat,Parasite,horror,"reading, hiking",🤞
master's (ds) [extension school],True,less than 1 year,1,windows,True,english,"africa, asia, europe",2000-12-14,1900-01-01 07:15:00,1900-01-01 23:00:00,summer,tea,fish,La La Land,drama,"cooking, movies",🤞
phd,True,less than 1 year,2,windows,True,english,north america,2000-09-07,1900-01-01 07:30:00,1900-01-01 23:15:00,spring,no caffeine for me!,none,The Matrix,sci-fi,"music, running",
phd,False,4+ years,5,macos,True,english,"europe, north america",2006-12-19,1900-01-01 11:00:00,,fall,tea,none,,sci-fi,"reading, hiking",
master's (ds),False,less than 1 year,2,macos,True,"english, german, spanish","asia, north america",2005-11-20,1900-01-01 09:45:00,1900-01-01 23:45:00,winter,no caffeine for me!,none,Oppenheimer,"comedy, drama","music, running",😴
phd,True,1-2 years,3,linux,False,english,"africa, asia, europe",2005-09-11,1900-01-01 09:30:00,1900-01-01 23:00:00,summer,tea,fish,,"comedy, drama",,
mit master's,True,less than 1 year,1,linux,True,"english, german, hindi",north america,2003-12-11,1900-01-01 07:15:00,1900-01-01 23:45:00,summer,tea,dog,,"comedy, drama",climbing,🤞
bachelor's (am),False,2-4 years,2,windows,False,,"asia, north america",1989-01-12,1900-01-01 08:45:00,1900-01-01 00:45:00,summer,coffee,cat,,"action, sci-fi","reading, hiking",
master's (ds),True,less than 1 year,1,linux,False,english,"europe, north america",2007-02-18,1900-01-01 08:15:00,1900-01-01 00:15:00,fall,energy drinks,pet rock,Spirited Away,sci-fi,"reading, hiking",😀
mit master's,True,2-4 years,5,windows,False,"english, japanese","asia, north america",2004-09-07,1900-01-01 10:00:00,1900-01-01 00:15:00,summer,no caffeine for me!,pet rock,The Matrix,"action, sci-fi",climbing,😀
bachelor's (am),False,1-2 years,3,linux,False,"english, japanese","africa, asia, europe",,1900-01-01 08:15:00,1900-01-01 23:30:00,fall,coffee,fish,The Matrix,"comedy, drama","cooking, movies",😀
bachelor's (cs),True,less than 1 year,2,macos,False,"english, russian","africa, asia, europe",1997-02-19,1900-01-01 08:00:00,1900-01-01 02:15:00,summer,coffee,none,Spirited Away,drama,"reading, hiking",😀
mit master's,True,2-4 years,3,macos,True,,"asia, north america",1994-05-12,1900-01-01 11:30:00,1900-01-01 23:00:00,spring,coffee,pet rock,La La Land,"comedy, drama","music, running",😀
bachelor's (cs),True,1-2 years,1,macos,False,,"asia, north america",2007-08-15,1900-01-01 07:00:00,1900-01-01 22:15:00,fall,coffee,pet rock,Interstellar,sci-fi,gaming,
master's (ds),False,1-2 years,3,windows,True,english,north america,2000-04-04,1900-01-01 10:00:00,1900-01-01 00:30:00,fall,coffee,fish,,horror,climbing,😀
mit master's,True,less than 1 year,1,macos,True,english,"europe, north america",2008-11-22,1900-01-01 07:45:00,1900-01-01 02:45:00,summer,coffee,none,Interstellar,comedy,gaming,
master's (ds),False,2-4 years,2,linux,True,"english, mandarin, portuguese","africa, asia, europe",2005-10-12,1900-01-01 11:30:00,1900-01-01 22:00:00,summer,coffee,dog,Oppenheimer,comedy,"music, running",
master's (ds),True,1-2 years,2,macos,True,english,north america,1998-03-03,1900-01-01 08:30:00,1900-01-01 22:45:00,fall,tea,dog,The Matrix,drama,"reading, hiking",😴
bachelor's (am),False,less than 1 year,2,linux,True,"english, spanish, japanese, portuguese","africa, asia, europe",2004-07-27,1900-01-01 06:00:00,1900-01-01 22:15:00,spring,coffee,pet rock,La La Land,"action, sci-fi",gaming,😴
bachelor's (cs),True,4+ years,3,macos,True,"english, russian, portuguese","asia, north america",2000-06-10,1900-01-01 08:30:00,1900-01-01 01:00:00,winter,tea,fish,Interstellar,sci-fi,"music, running",
master's (ds),True,less than 1 year,1,macos,False,"english, german","asia, north america",2006-06-21,1900-01-01 07:45:00,1900-01-01 00:45:00,spring,no caffeine for me!,fish,Oppenheimer,"comedy, drama",,😀
master's (ds),True,less than 1 year,1,macos,True,"english, japanese",north america,2004-08-16,1900-01-01 08:30:00,1900-01-01 01:45:00,spring,coffee,dog,La La Land,horror,"cooking, movies",😀
master's (ds),True,1-2 years,2,macos,True,"english, spanish","europe, north america",2005-03-19,1900-01-01 11:30:00,1900-01-01 03:00:00,summer,coffee,pet rock,Oppenheimer,drama,"reading, hiking",😀
master's (ds) [extension school],True,less than 1 year,3,macos,True,"english, hindi","africa, asia, europe",1999-05-11,1900-01-01 08:15:00,1900-01-01 01:00:00,spring,tea,cat,,horror,"cooking, movies",😀
hks master's,True,less than 1 year,1,macos,False,"english, portuguese, french, russian",north america,1986-09-22,,1900-01-01 00:45:00,winter,coffee,fish,Interstellar,"comedy, drama","cooking, movies",😴
master's (ds),True,1-2 years,2,wsl,False,"english, cantonese, korean, japanese","asia, north america",2001-04-26,1900-01-01 08:00:00,,summer,tea,fish,,"action, sci-fi","cooking, movies",🤞
master's (ds),False,4+ years,3,macos,True,"english, hindi","africa, asia, europe",2005-11-02,1900-01-01 11:30:00,1900-01-01 22:00:00,spring,tea,dog,La La Land,"comedy, drama",,
phd,True,4+ years,3,windows,True,"english, mandarin",north america,2007-01-26,1900-01-01 08:15:00,1900-01-01 23:45:00,fall,coffee,cat,,sci-fi,"cooking, movies",
,True,less than 1 year,1,macos,True,"english, german",north america,2000-09-22,1900-01-01 08:15:00,1900-01-01 22:45:00,spring,tea,pet rock,La La Land,"comedy, drama","music, running",🤞
bachelor's (statistics),True,4+ years,5,macos,False,english,"africa, asia, europe",2001-09-04,1900-01-01 07:15:00,1900-01-01 01:15:00,spring,tea,fish,Spirited Away,drama,"cooking, movies",
master's (ds) [extension school],False,less than 1 year,2,windows,True,"english, korean","europe, north america",2007-09-22,1900-01-01 07:45:00,1900-01-01 01:00:00,spring,tea,dog,,comedy,"cooking, movies",
master's (ds) [extension school],True,2-4 years,2,macos,True,"english, russian, german","africa, asia, europe",1999-08-03,1900-01-01 08:45:00,1900-01-01 00:15:00,winter,no caffeine for me!,dog,,comedy,,
hks master's,True,less than 1 year,1,macos,True,"english, japanese, cantonese, spanish","asia, north america",,1900-01-01 09:00:00,1900-01-01 00:00:00,winter,coffee,dog,La La Land,comedy,"cooking, movies",
bachelor's (cs),True,2-4 years,3,macos,False,,"europe, north america",2007-04-06,1900-01-01 11:30:00,1900-01-01 00:00:00,fall,energy drinks,pet rock,Spirited Away,"action, sci-fi","reading, hiking",😀
,True,2-4 years,4,windows,True,"english, korean, german","europe, north america",2004-04-25,1900-01-01 07:15:00,1900-01-01 23:00:00,summer,tea,cat,,"comedy, drama",,😴
bachelor's (cs),False,4+ years,4,i use google colab,False,english,"africa, asia, europe",1994-04-11,1900-01-01 07:15:00,1900-01-01 22:00:00,summer,coffee,fish,,drama,,🤞
bachelor's (am),False,4+ years,2,macos,False,,"europe, north america",2004-06-02,1900-01-01 07:15:00,1900-01-01 03:30:00,fall,energy drinks,cat,Spirited Away,,climbing,😀
bachelor's (am),True,less than 1 year,1,macos,False,"english, japanese","europe, north america",1988-05-26,1900-01-01 08:15:00,1900-01-01 22:30:00,winter,tea,cat,La La Land,"comedy, drama",,
bachelor's (cs),False,1-2 years,2,macos,True,"english, mandarin, korean","africa, asia, europe",1999-10-03,1900-01-01 08:00:00,1900-01-01 22:15:00,winter,coffee,,Parasite,horror,"reading, hiking",😀
hks master's,True,2-4 years,4,macos,False,english,"africa, asia, europe",2007-03-26,1900-01-01 06:30:00,1900-01-01 00:30:00,fall,no caffeine for me!,cat,La La Land,sci-fi,,😀
master's (ds),True,less than 1 year,2,macos,False,"english, portuguese, cantonese, french","asia, north america",2005-02-25,1900-01-01 10:30:00,1900-01-01 22:00:00,fall,tea,fish,,"action, sci-fi",,
bachelor's (statistics),False,2-4 years,3,linux,False,"english, french, german, korean","africa, asia, europe",1998-05-04,1900-01-01 09:45:00,1900-01-01 23:45:00,winter,coffee,pet rock,,drama,gaming,
master's (ds) [extension school],True,less than 1 year,2,macos,True,english,"europe, north america",2004-03-12,1900-01-01 09:00:00,1900-01-01 01:30:00,summer,tea,pet rock,,sci-fi,climbing,
bachelor's (cs),True,less than 1 year,3,linux,True,english,north america,2003-12-05,1900-01-01 06:00:00,1900-01-01 23:30:00,fall,tea,fish,,"comedy, drama",gaming,
bachelor's (statistics),True,1-2 years,2,macos,True,"english, portuguese, cantonese, german",north america,2006-12-26,1900-01-01 09:30:00,1900-01-01 23:30:00,fall,tea,pet rock,Spirited Away,drama,,😴
master's (ds) [extension school],False,1-2 years,3,windows,True,"english, cantonese","africa, asia, europe",2004-07-06,1900-01-01 09:15:00,1900-01-01 00:45:00,winter,no caffeine for me!,fish,Parasite,,,🤞
master's (ds),True,1-2 years,2,windows,True,english,"asia, north america",2006-02-13,1900-01-01 08:30:00,1900-01-01 22:00:00,fall,no caffeine for me!,fish,,comedy,gaming,😀
master's (ds) [extension school],True,1-2 years,2,macos,True,"english, mandarin","europe, north america",2005-10-24,1900-01-01 07:30:00,1900-01-01 23:45:00,spring,coffee,fish,,horror,"cooking, movies",😀
bachelor's (statistics),True,1-2 years,3,linux,True,english,"asia, north america",1991-09-12,1900-01-01 11:15:00,1900-01-01 02:30:00,fall,tea,pet rock,The Matrix,"action, sci-fi","cooking, movies",😀
bachelor's (cs),False,4+ years,2,windows,False,english,"africa, asia, europe",2002-08-23,1900-01-01 10:00:00,1900-01-01 23:15:00,fall,coffee,dog,,drama,"reading, hiking",😀
bachelor's (am),True,less than 1 year,2,windows,True,"english, spanish, cantonese","asia, north america",1989-05-22,1900-01-01 11:15:00,1900-01-01 01:15:00,spring,coffee,pet rock,The Matrix,drama,"cooking, movies",
master's (ds),True,less than 1 year,2,macos,True,"english, cantonese, german","europe, north america",1999-09-12,1900-01-01 10:00:00,1900-01-01 02:45:00,spring,coffee,fish,Interstellar,drama,"music, running",😀
phd,True,1-2 years,3,macos,True,"english, german","europe, north america",1999-11-13,1900-01-01 09:15:00,1900-01-01 03:45:00,fall,coffee,fish,Oppenheimer,"action, sci-fi",climbing,🤞
mit master's,True,2-4 years,2,windows,False,"english, hindi, japanese, french","africa, asia, europe",2002-03-11,1900-01-01 07:15:00,1900-01-01 22:00:00,fall,energy drinks,dog,Oppenheimer,,gaming,
hks master's,True,2-4 years,3,macos,True,english,"africa, asia, europe",2000-01-05,1900-01-01 09:15:00,1900-01-01 22:45:00,fall,tea,cat,,comedy,gaming,
bachelor's (statistics),True,less than 1 year,1,linux,True,english,"asia, north america",1999-05-18,,1900-01-01 22:45:00,summer,coffee,dog,,comedy,climbing,😀
master's (ds) [extension school],True,2-4 years,4,linux,False,english,north america,2007-09-12,1900-01-01 06:15:00,1900-01-01 00:15:00,summer,tea,dog,The Matrix,"comedy, drama","music, running",
hks master's,True,2-4 years,3,macos,False,english,"asia, north america",1989-06-20,1900-01-01 08:45:00,1900-01-01 00:15:00,spring,tea,fish,Parasite,drama,,
bachelor's (cs),True,2-4 years,2,windows,True,"english, mandarin, japanese","asia, north america",2002-12-06,1900-01-01 10:30:00,1900-01-01 01:30:00,fall,no caffeine for me!,dog,Spirited Away,sci-fi,"cooking, movies",😀
bachelor's (cs),True,less than 1 year,2,windows,True,"english, korean, russian, german","africa, asia, europe",2004-05-12,1900-01-01 07:30:00,1900-01-01 22:45:00,summer,coffee,pet rock,,"comedy, drama","cooking, movies",😀
bachelor's (cs),True,less than 1 year,1,macos,False,"english, spanish",north america,1997-09-25,1900-01-01 10:15:00,1900-01-01 23:15:00,fall,coffee,fish,Interstellar,horror,"cooking, movies",
master's (ds) [extension school],False,4+ years,3,macos,True,"english, german","asia, north america",2001-09-26,1900-01-01 11:45:00,1900-01-01 01:45:00,fall,coffee,pet rock,Parasite,horror,"music, running",
master's (ds) [extension school],True,4+ years,4,macos,False,english,north america,2000-05-24,1900-01-01 06:30:00,1900-01-01 00:00:00,fall,coffee,pet rock,La La Land,drama,"reading, hiking",
bachelor's (cs),True,less than 1 year,2,macos,True,,"asia, north america",2007-09-18,1900-01-01 11:45:00,1900-01-01 23:45:00,fall,coffee,none,Spirited Away,comedy,,🤞
mit master's,True,1-2 years,1,windows,False,"english, korean","asia, north america",1988-12-04,,1900-01-01 23:30:00,summer,coffee,fish,Spirited Away,horror,"music, running",😀
bachelor's (cs),True,less than 1 year,1,windows,True,english,"asia, north america",1989-10-14,1900-01-01 08:00:00,1900-01-01 23:15:00,summer,coffee,dog,Oppenheimer,sci-fi,"cooking, movies",
master's (ds),True,1-2 years,2,macos,True,"english, hindi, japanese, russian","africa, asia, europe",2002-10-10,1900-01-01 06:45:00,1900-01-01 22:30:00,fall,coffee,none,Oppenheimer,"comedy, drama","cooking, movies",😀
bachelor's (cs),True,less than 1 year,2,i use google colab,True,"english, german",north america,,1900-01-01 10:00:00,,winter,coffee,fish,,drama,"cooking, movies",
master's (ds),True,less than 1 year,3,macos,False,english,"africa, asia, europe",2007-09-22,1900-01-01 08:45:00,1900-01-01 01:00:00,winter,tea,pet rock,The Matrix,,"reading, hiking",
bachelor's (cs),True,less than 1 year,3,macos,False,english,"africa, asia, europe",2002-09-15,1900-01-01 08:45:00,1900-01-01 22:00:00,spring,tea,none,Oppenheimer,drama,"cooking, movies",😴
master's (ds),False,4+ years,4,macos,True,"english, german, french, portuguese",north america,2008-04-01,1900-01-01 09:30:00,1900-01-01 01:45:00,fall,coffee,fish,Interstellar,comedy,"reading, hiking",😴
bachelor's (statistics),False,1-2 years,2,macos,True,english,"europe, north america",2004-11-02,1900-01-01 09:15:00,1900-01-01 22:30:00,fall,coffee,fish,Spirited Away,"action, sci-fi",,😀
master's (ds),False,less than 1 year,1,i use google colab,False,"english, portuguese, german, french","europe, north america",2008-10-01,1900-01-01 06:15:00,1900-01-01 22:45:00,summer,tea,none,Spirited Away,,climbing,😀
phd,True,1-2 years,2,windows,False,"english, german, korean","africa, asia, europe",2007-06-17,1900-01-01 06:30:00,1900-01-01 22:45:00,fall,energy drinks,pet rock,Interstellar,comedy,gaming,😀
bachelor's (statistics),False,1-2 years,3,macos,False,"english, korean, spanish, japanese",north america,2025-11-23,1900-01-01 11:30:00,1900-01-01 23:15:00,fall,coffee,pet rock,,comedy,"cooking, movies",
mit master's,False,1-2 years,3,linux,True,"english, portuguese",north america,1987-07-09,1900-01-01 09:00:00,1900-01-01 00:00:00,fall,tea,none,The Matrix,comedy,climbing,😀
bachelor's (am),False,1-2 years,1,i use google colab,False,"english, mandarin, korean","europe, north america",,1900-01-01 06:45:00,1900-01-01 23:15:00,fall,no caffeine for me!,fish,Oppenheimer,"comedy, drama","music, running",🤞
bachelor's (statistics),True,1-2 years,3,windows,False,"english, cantonese, french, japanese",north america,2004-04-06,1900-01-01 06:45:00,1900-01-01 01:00:00,summer,tea,cat,La La Land,"comedy, drama","music, running",😴
bachelor's (cs),True,less than 1 year,2,windows,False,"english, french","asia, north america",1995-05-13,1900-01-01 06:15:00,1900-01-01 00:00:00,winter,energy drinks,pet rock,The Matrix,sci-fi,gaming,
bachelor's (cs),False,1-2 years,3,wsl,True,"english, japanese",north america,1991-11-09,1900-01-01 07:45:00,1900-01-01 23:45:00,fall,no caffeine for me!,cat,Spirited Away,drama,climbing,😴
bachelor's (cs),False,4+ years,5,macos,True,"english, cantonese, spanish, french","africa, asia, europe",1994-12-05,1900-01-01 10:30:00,1900-01-01 23:45:00,spring,coffee,pet rock,La La Land,horror,"music, running",
phd,True,1-2 years,3,windows,True,"english, japanese, russian","asia, north america",2002-05-21,1900-01-01 06:00:00,1900-01-01 23:15:00,spring,no caffeine for me!,fish,Parasite,horror,,
bachelor's (cs),True,4+ years,4,windows,False,"english, japanese","europe, north america",1990-01-06,1900-01-01 09:00:00,1900-01-01 00:00:00,summer,coffee,cat,Interstellar,drama,,🤞
master's (ds),True,less than 1 year,2,windows,True,"english, hindi, mandarin, russian",north america,,1900-01-01 10:15:00,1900-01-01 00:45:00,summer,tea,dog,,sci-fi,"reading, hiking",
master's (ds),True,less than 1 year,1,macos,True,english,"europe, north america",1996-04-04,1900-01-01 11:15:00,1900-01-01 00:45:00,fall,coffee,pet rock,Oppenheimer,,"music, running",😀
master's (ds),True,4+ years,3,macos,True,"english, spanish, portuguese, cantonese","asia, north america",1988-08-18,1900-01-01 10:45:00,1900-01-01 22:45:00,spring,coffee,fish,La La Land,"comedy, drama","music, running",😀
bachelor's (am),True,1-2 years,3,linux,True,"english, german, korean, portuguese","europe, north america",1993-12-16,1900-01-01 11:15:00,1900-01-01 01:15:00,fall,coffee,none,Interstellar,comedy,"reading, hiking",
bachelor's (cs),False,1-2 years,3,linux,False,"english, korean","africa, asia, europe",1991-02-22,1900-01-01 07:30:00,1900-01-01 01:15:00,fall,no caffeine for me!,dog,Spirited Away,horror,"cooking, movies",🤞
bachelor's (cs),True,1-2 years,2,macos,False,english,"africa, asia, europe",2007-08-06,1900-01-01 11:15:00,1900-01-01 00:00:00,summer,coffee,dog,Parasite,drama,climbing,🤞
master's (ds),False,less than 1 year,2,windows,False,"english, cantonese","europe, north america",2004-07-19,1900-01-01 08:45:00,1900-01-01 22:00:00,winter,coffee,none,La La Land,horror,"music, running",😀
phd,True,2-4 years,3,windows,False,english,"europe, north america",,1900-01-01 09:00:00,1900-01-01 23:45:00,spring,tea,fish,The Matrix,horror,"cooking, movies",🤞
bachelor's (am),False,1-2 years,4,macos,True,"english, german",north america,2008-11-22,1900-01-01 08:15:00,1900-01-01 23:15:00,summer,energy drinks,dog,,sci-fi,"music, running",
bachelor's (statistics),True,1-2 years,3,macos,False,"english, mandarin, spanish","europe, north america",2003-07-27,1900-01-01 09:00:00,1900-01-01 23:45:00,winter,coffee,none,The Matrix,drama,,
master's (ds) [extension school],True,2-4 years,4,macos,True,"english, french","asia, north america",2008-03-27,1900-01-01 09:45:00,1900-01-01 22:00:00,winter,tea,pet rock,Interstellar,,climbing,
bachelor's (cs),True,4+ years,4,windows,True,"english, japanese","asia, north america",2004-12-17,1900-01-01 06:00:00,1900-01-01 23:15:00,summer,tea,none,Spirited Away,comedy,"music, running",😀
master's (ds),True,4+ years,3,macos,True,english,"asia, north america",,1900-01-01 06:00:00,1900-01-01 23:15:00,fall,no caffeine for me!,dog,Spirited Away,sci-fi,climbing,
hks master's,True,1-2 years,2,windows,True,"english, hindi","europe, north america",2005-12-07,1900-01-01 08:00:00,1900-01-01 01:00:00,fall,coffee,fish,Spirited Away,drama,"cooking, movies",
bachelor's (am),False,less than 1 year,3,windows,True,"english, spanish, russian, japanese",north america,2001-02-01,1900-01-01 11:00:00,1900-01-01 01:15:00,spring,tea,none,The Matrix,sci-fi,gaming,😀
bachelor's (statistics),True,less than 1 year,2,wsl,False,"english, german, french, japanese",north america,1997-04-05,1900-01-01 07:00:00,1900-01-01 00:30:00,fall,coffee,none,Interstellar,"comedy, drama",,
bachelor's (statistics),True,1-2 years,4,windows,True,"english, portuguese","asia, north america",1989-06-23,1900-01-01 06:30:00,1900-01-01 22:30:00,fall,no caffeine for me!,fish,The Matrix,"action, sci-fi",gaming,🤞
master's (ds),True,less than 1 year,2,macos,False,english,"africa, asia, europe",2008-03-08,1900-01-01 06:45:00,1900-01-01 23:30:00,summer,tea,cat,,,gaming,😀
phd,False,less than 1 year,1,macos,True,"english, french","europe, north america",2000-04-01,1900-01-01 11:30:00,1900-01-01 02:30:00,summer,coffee,pet rock,Oppenheimer,"action, sci-fi",climbing,😀
master's (ds),True,less than 1 year,2,windows,False,english,north america,2006-04-13,1900-01-01 09:00:00,1900-01-01 23:45:00,winter,no caffeine for me!,dog,Oppenheimer,"comedy, drama","reading, hiking",😴
bachelor's (statistics),False,4+ years,3,macos,False,english,"africa, asia, europe",2001-02-01,1900-01-01 10:00:00,1900-01-01 22:45:00,fall,no caffeine for me!,cat,Spirited Away,"comedy, drama",,😴
bachelor's (statistics),True,less than 1 year,2,macos,True,english,north america,1990-03-06,1900-01-01 06:15:00,1900-01-01 23:30:00,summer,coffee,fish,The Matrix,sci-fi,climbing,
master's (ds),False,less than 1 year,1,macos,True,"english, russian","africa, asia, europe",2003-02-07,1900-01-01 08:15:00,1900-01-01 23:00:00,summer,coffee,pet rock,Spirited Away,horror,"reading, hiking",🤞
master's (ds),True,4+ years,4,macos,True,english,"asia, north america",1991-03-01,1900-01-01 09:45:00,1900-01-01 02:15:00,summer,coffee,none,Parasite,sci-fi,gaming,🤞
bachelor's (cs),True,1-2 years,2,macos,True,"english, russian, spanish","europe, north america",2005-04-02,1900-01-01 11:15:00,1900-01-01 03:15:00,summer,coffee,pet rock,Interstellar,"action, sci-fi","reading, hiking",
master's (ds),True,2-4 years,3,macos,False,"english, russian, mandarin, hindi","asia, north america",2001-04-22,1900-01-01 11:15:00,1900-01-01 22:15:00,spring,coffee,dog,,"comedy, drama","cooking, movies",😴
master's (ds),True,1-2 years,2,macos,True,english,"africa, asia, europe",2006-12-17,1900-01-01 11:30:00,1900-01-01 00:15:00,winter,energy drinks,pet rock,Oppenheimer,horror,"reading, hiking",😴
bachelor's (cs),True,4+ years,3,i use google colab,True,english,"africa, asia, europe",2025-04-08,1900-01-01 08:45:00,1900-01-01 23:15:00,summer,coffee,cat,Spirited Away,drama,"reading, hiking",😀
master's (ds) [extension school],True,4+ years,3,macos,False,"english, german",north america,1987-09-19,1900-01-01 08:00:00,1900-01-01 00:30:00,,tea,none,,comedy,gaming,
bachelor's (cs),True,1-2 years,3,i use google colab,True,english,"europe, north america",1994-07-20,1900-01-01 09:15:00,1900-01-01 01:00:00,fall,tea,fish,Parasite,sci-fi,climbing,
bachelor's (cs),False,4+ years,5,macos,False,english,"africa, asia, europe",,1900-01-01 11:45:00,1900-01-01 01:30:00,fall,no caffeine for me!,pet rock,Parasite,sci-fi,,😴
master's (ds),True,1-2 years,3,windows,False,"english, portuguese, russian, german","asia, north america",1999-03-11,1900-01-01 06:45:00,1900-01-01 23:15:00,spring,energy drinks,pet rock,,comedy,"cooking, movies",🤞
master's (ds) [extension school],False,1-2 years,3,windows,True,"english, mandarin",north america,2003-09-25,1900-01-01 08:15:00,1900-01-01 22:30:00,fall,tea,cat,Oppenheimer,"comedy, drama",gaming,😴
master's (ds),True,2-4 years,4,windows,False,english,"africa, asia, europe",2001-11-07,1900-01-01 08:15:00,1900-01-01 02:30:00,summer,coffee,fish,Oppenheimer,sci-fi,,
master's (ds),True,1-2 years,1,linux,True,english,north america,,1900-01-01 11:15:00,1900-01-01 02:45:00,spring,coffee,cat,Interstellar,horror,,
bachelor's (cs),False,less than 1 year,1,macos,False,english,"africa, asia, europe",1996-06-17,1900-01-01 06:30:00,1900-01-01 00:45:00,,tea,fish,Interstellar,"comedy, drama","music, running",
master's (ds),True,1-2 years,2,windows,False,english,north america,2003-12-17,1900-01-01 07:45:00,1900-01-01 01:45:00,summer,coffee,fish,Interstellar,"comedy, drama",gaming,🤞
bachelor's (am),False,less than 1 year,1,macos,True,"english, french, japanese, mandarin","europe, north america",2002-02-12,1900-01-01 07:15:00,1900-01-01 23:45:00,summer,coffee,none,La La Land,"comedy, drama","music, running",
bachelor's (cs),False,4+ years,3,windows,True,english,north america,2008-08-14,1900-01-01 06:00:00,1900-01-01 23:15:00,fall,coffee,fish,Interstellar,sci-fi,"music, running",😴
master's (ds) [extension school],True,1-2 years,1,windows,True,"english, japanese, french","asia, north america",2006-08-08,1900-01-01 06:00:00,1900-01-01 02:00:00,fall,tea,cat,Oppenheimer,comedy,"reading, hiking",
bachelor's (cs),True,less than 1 year,1,macos,True,"english, japanese",north america,2006-06-22,1900-01-01 08:15:00,1900-01-01 23:00:00,spring,coffee,pet rock,Spirited Away,horror,"music, running",🤞
bachelor's (am),False,4+ years,3,macos,True,"english, cantonese, korean","asia, north america",1990-01-23,1900-01-01 08:00:00,1900-01-01 23:45:00,summer,tea,cat,,horror,gaming,😴
bachelor's (am),True,4+ years,4,macos,True,"english, french",north america,2001-02-16,1900-01-01 06:45:00,1900-01-01 23:45:00,summer,coffee,none,,comedy,"cooking, movies",🤞
master's (ds),True,2-4 years,3,windows,True,"english, hindi","africa, asia, europe",1985-01-27,1900-01-01 10:00:00,1900-01-01 23:00:00,fall,coffee,cat,,"comedy, drama","music, running",😴
phd,True,1-2 years,1,macos,False,"english, japanese","africa, asia, europe",,1900-01-01 07:45:00,1900-01-01 23:00:00,fall,tea,cat,La La Land,horror,gaming,😀
master's (ds) [extension school],True,1-2 years,2,windows,False,english,"europe, north america",1999-10-22,1900-01-01 10:30:00,1900-01-01 01:45:00,fall,tea,fish,Oppenheimer,,"cooking, movies",
,True,less than 1 year,4,windows,True,english,"africa, asia, europe",2001-08-12,1900-01-01 11:45:00,1900-01-01 00:45:00,summer,no caffeine for me!,dog,Oppenheimer,"action, sci-fi",,🤞
bachelor's (cs),True,less than 1 year,2,macos,False,english,"asia, north america",1999-04-25,1900-01-01 11:30:00,1900-01-01 22:15:00,fall,tea,none,Interstellar,"comedy, drama",climbing,
bachelor's (am),True,less than 1 year,1,wsl,True,"english, spanish, russian, french","africa, asia, europe",1991-08-27,1900-01-01 10:15:00,1900-01-01 23:00:00,spring,energy drinks,fish,La La Land,,climbing,
bachelor's (statistics),True,1-2 years,2,windows,True,english,"asia, north america",,1900-01-01 11:30:00,1900-01-01 01:15:00,fall,tea,fish,Interstellar,drama,"cooking, movies",
master's (ds),True,2-4 years,5,windows,True,"english, korean",north america,2003-07-25,,1900-01-01 01:15:00,summer,coffee,pet rock,La La Land,horror,climbing,
master's (ds),True,less than 1 year,2,macos,False,"english, russian, french, hindi","europe, north america",2001-06-07,1900-01-01 10:15:00,,fall,tea,fish,Parasite,horror,gaming,
bachelor's (am),True,less than 1 year,3,macos,True,"english, hindi","asia, north america",2006-09-11,1900-01-01 10:45:00,1900-01-01 01:30:00,fall,tea,cat,Spirited Away,"action, sci-fi","cooking, movies",
master's (ds),True,2-4 years,4,macos,True,"english, cantonese, hindi, russian","asia, north america",2002-12-23,1900-01-01 10:00:00,1900-01-01 00:30:00,winter,tea,none,Oppenheimer,,climbing,😴
bachelor's (statistics),True,4+ years,5,windows,False,"english, french",north america,2007-04-18,1900-01-01 09:00:00,1900-01-01 23:15:00,fall,coffee,cat,The Matrix,,,😀
phd,True,4+ years,4,macos,False,"english, japanese, mandarin, hindi","europe, north america",2006-02-20,1900-01-01 09:30:00,1900-01-01 00:45:00,winter,tea,dog,Oppenheimer,sci-fi,climbing,🤞
master's (ds),True,2-4 years,3,macos,True,"english, japanese, russian, hindi",north america,1986-11-20,1900-01-01 10:00:00,1900-01-01 22:45:00,fall,no caffeine for me!,none,La La Land,comedy,"reading, hiking",🤞
master's (ds) [extension school],True,4+ years,3,windows,False,"english, cantonese","africa, asia, europe",2002-12-04,1900-01-01 06:00:00,1900-01-01 22:45:00,spring,coffee,pet rock,,comedy,climbing,
